만족도,단어,빈도수
422,만족,믿음,145
423,만족,보지,144
424,만족,꽤,144
425,만족,후회,143
426,만족,가죽,142
427,만족,쪽,142
428,만족,붙이,142
429,만족,첨,141
430,만족,돈,141
431,만족,잇몸,141
432,만족,끝,140
433,만족,덕분,139
434,만족,신지,139
435,만족,불빛,138
436,만족,유,138
437,만족,실용,138
438,만족,체지방,137
439,만족,커버,137
440,만족,이벤트,136
441,만족,두께,136
442,만족,질,136
443,만족,해도,135
444,만족,연결,135
445,만족,진동,135
446,만족,내,134
447,만족,스,134
448,만족,받침,134
449,만족,가끔,133
450,만족,해주시,133
451,만족,위치,133
452,만족,교환,133
453,만족,모루,132
454,만족,이틀,132
455,만족,선,132
456,만족,몇개,131
457,만족,무지,130
458,만족,방,130
459,만족,저번,130
460,만족,먼저,129
461,만족,방지,129
462,만족,둘,128
463,만족,어제,128
464,만족,청소기,127
465,만족,용도,127
466,만족,강도,127
467,만족,여기저기,127
468,만족,파시,127
469,만족,발바닥,126
470,만족,볼,126
471,만족,온도,125
472,만족,다이어트,125
473,만족,길이,125
474,만족,용이,125
475,만족,처리,125
476,만족,방수,125
477,만족,실제,124
478,만족,거리,124
479,만족,수치,123
480,만족,조립,123
481,만족,불,123
482,만족,더욱,123
483,만족,자력,123
484,만족,흰색,123
485,만족,조,121
486,만족,보통,121
487,만족,주,121
488,만족,공기청정기,121
489,만족,송,120
490,만족,다행,120
491,만족,원,120
492,만족,얼마나,120
493,만족,편,119
494,만족,강쥐,119
495,만족,걸레질,118
496,만족,차안,118
497,만족,와이프,118
498,만족,임,118
499,만족,만원,117
500,만족,난리,116
501,만족,고기,116
502,만족,마감,116
503,만족,무조건,116
504,만족,기본,115
505,만족,호,115
506,만족,슬개골,115
507,만족,안전,115
508,만족,흡착,114
509,만족,필요,114
510,만족,밑,113
511,만족,크게,112
512,만족,투힘,112
513,만족,옆,111
514,만족,가정,110
515,만족,할인,110
516,만족,테이프,110
517,만족,음,110
518,만족,또한,110
519,만족,안해,109
520,만족,여행,109
521,만족,물론,109
522,만족,스마트폰,108
523,만족,하자,108
524,만족,국산,107
525,만족,물이,107
526,만족,애용,107
527,만족,공,107
528,만족,면,107
529,만족,결과,106
530,만족,플라스틱,106
531,만족,골드,106
532,만족,그것,106
533,만족,및,106
534,만족,기간,105
535,만족,바람,105
536,만족,얼마,105
537,만족,찜질,105
538,만족,너무나,105
539,만족,불량,105
540,만족,단,104
541,만족,배송비,104
542,만족,아이폰,104
543,만족,땐,104
544,만족,중간,103
545,만족,제거,103
546,만족,경우,103
547,만족,집안,103
548,만족,장착,103
549,만족,치석,102
550,만족,세번,102
551,만족,남자친구,102
552,만족,보호대,101
553,만족,밀착,101
554,만족,위생,100
555,만족,그거,100
556,만족,방법,100
557,만족,겨울,100
558,만족,반신반의,99
559,만족,퓨,99
560,만족,테스트,99
