만족도,단어,빈도수
1210,만족,수령,16
1211,만족,그때,16
1212,만족,지퍼,16
1213,만족,지압,16
1214,만족,소문,16
1215,만족,간,16
1216,만족,스피커,16
1217,만족,준비,16
1218,만족,뎌,16
1219,만족,이치,16
1220,만족,세번,16
1221,만족,파랑,16
1222,만족,조작,16
1223,만족,시중,16
1224,만족,검수,16
1225,만족,처럼,16
1226,만족,겁,16
1227,만족,다가,16
1228,만족,오랫동안,16
1229,만족,아기,16
1230,만족,뿌,16
1231,만족,강아지,16
1232,만족,에어,16
1233,만족,신청,16
1234,만족,효,16
1235,만족,주로,16
1236,만족,레쉬,16
1237,만족,스펀지,16
1238,만족,분리,16
1239,만족,복원력,16
1240,만족,듭,15
1241,만족,피로,15
1242,만족,프로,15
1243,만족,머리카락,15
1244,만족,빡빡,15
1245,만족,방금,15
1246,만족,망,15
1247,만족,습기,15
1248,만족,다다,15
1249,만족,진심,15
1250,만족,레벨,15
1251,만족,서서,15
1252,만족,림,15
1253,만족,토,15
1254,만족,법도,15
1255,만족,가을,15
1256,만족,상처,15
1257,만족,적,15
1258,만족,왼쪽,15
1259,만족,정성,15
1260,만족,성분,15
1261,만족,여야,15
1262,만족,격,15
1263,만족,레,15
1264,만족,파서,15
1265,만족,아영,15
1266,만족,도톰하,15
1267,만족,추석,15
1268,만족,스판,15
1269,만족,하얀색,15
1270,만족,슈,15
1271,만족,짜증,15
1272,만족,에이,15
1273,만족,스쿼트,15
1274,만족,직,15
1275,만족,훨,15
1276,만족,문틀,15
1277,만족,하체,15
1278,만족,양면,15
1279,만족,집앞,15
1280,만족,센치,15
1281,만족,아예,15
1282,만족,종일,15
1283,만족,위험,15
1284,만족,갑자기,15
1285,만족,구두,15
1286,만족,제법,15
1287,만족,개수,15
1288,만족,대부분,15
1289,만족,강습,15
1290,만족,계기,15
1291,만족,예,15
1292,만족,믿음,15
1293,만족,소,15
1294,만족,실망,15
1295,만족,마지막,15
1296,만족,괜찬,15
1297,만족,홈트하려,15
1298,만족,일체,15
1299,만족,대체로,15
1300,만족,방바닥,15
1301,만족,갸,14
1302,만족,고기,14
1303,만족,대해,14
1304,만족,시운전,14
1305,만족,목적,14
1306,만족,욦,14
1307,만족,금요일,14
1308,만족,필수품,14
1309,만족,젛아,14
1310,만족,실험,14
1311,만족,답,14
1312,만족,당장,14
1313,만족,명,14
1314,만족,근,14
1315,만족,찌,14
1316,만족,사라,14
1317,만족,하빈,14
1318,만족,칼라,14
1319,만족,조항,14
1320,만족,뭘,14
1321,만족,안경,14
1322,만족,손글씨,14
1323,만족,평상시,14
1324,만족,나이스,14
