단어,빈도수합계
1342,전자렌지,197
1343,불편,233
1344,뒷,226
1345,인견,198
1346,신축,217
1347,기호,195
1348,포트,203
1349,한지,205
1350,한장,204
1351,료,200
1352,석,193
1353,쟁,192
1354,응,210
1355,싱글,196
1356,면서,207
1357,나이,202
1358,방이,194
1359,스킨,196
1360,역,202
1361,준,199
1362,상세,199
1363,한여름,203
1364,재단,198
1365,아내,199
1366,피로,192
1367,쎄,195
1368,머리카락,203
1369,신한,195
1370,주방,191
1371,제작,212
1372,쓰시,195
1373,하드,199
1374,예상,205
1375,뚝딱,191
1376,왼쪽,223
1377,모던,196
1378,쉬,200
1379,영화,189
1380,단백질,189
1381,어버이날,190
1382,병원,197
1383,가위,198
1384,널,195
1385,얘기,197
1386,원피스,200
1387,발가락,237
1388,심,204
1389,깨,193
1390,고객,221
1391,종이,213
1392,보구,193
1393,종,193
1394,조리,196
1395,서랍,211
1396,한편,209
1397,온도,199
1398,명절,192
1399,진동,209
1400,하얀색,199
1401,콩물,202
1402,이월,183
1403,지퍼,217
1404,대충,237
1405,이어폰,204
1406,운전,192
1407,토너,189
1408,물놀이,187
1409,핸들링,183
1410,오렌지,191
1411,판이,213
1412,댜,188
1413,요건,187
1414,내부,208
1415,누구,193
1416,그닥,286
1417,지방,193
1418,가운데,214
1419,그림,195
1420,최,183
1421,주머니,190
1422,설,189
1423,고생,195
1424,뇨,185
1425,연,195
1426,낮,191
1427,읍니,187
1428,캠핑,181
1429,목걸이,191
1430,재고,210
1431,타이,198
1432,동시,189
1433,온라인,180
1434,네오,188
1435,락,187
1436,이제야,178
1437,특유,188
1438,광,185
1439,냉장고,181
1440,예,183
1441,디스크,186
1442,필터,184
1443,살때,180
1444,담날,179
1445,의,187
1446,투명,192
1447,햇빛,183
1448,출고,194
1449,로만,185
1450,발등,207
1451,오랫동안,177
1452,팔이,199
1453,서요,183
1454,센치,193
1455,느,178
1456,뻔,197
1457,얼룩,233
1458,신지,176
1459,눈썹,177
1460,더더,178
1461,감안,196
1462,금요일,185
1463,쥬스,174
1464,게다가,176
1465,노트,188
1466,푸쉬업,179
1467,호환,182
1468,개사,176
1469,옴,224
1470,인용,183
1471,놀랬어,179
1472,팬,190
1473,필수품,170
1474,귀,203
1475,특가,172
1476,식구,172
1477,올해,173
1478,변경,187
1479,달러,173
1480,레이어,173
1481,첨부,179
1482,스타,178
1483,수령,183
1484,일도,169
1485,아이스팩,181
1486,김,180
1487,간,176
1488,모기,171
1489,가까이,192
1490,분사,169
1491,세면대,179
1492,봉지,177
1493,카메라,174
1494,달리,179
1495,암,176
1496,스마트,169
1497,기전,173
1498,올여름,169
1499,피시방,174
1500,뿌리,175
1501,비용,179
1502,오오오,175
1503,꽃,174
1504,신혼집,168
1505,스트레스,172
1506,내용,182
1507,감기,174
1508,토시,174
1509,세탁기,177
1510,가을,175
1511,아파트,172
1512,리모콘,177
1513,부실,204
1514,월요일,184
1515,티셔츠,198
1516,홈,180
1517,슬,167
1518,욬,172
1519,종종,171
1520,나나,169
1521,성인,179
1522,겹,177
1523,백탁,179
1524,카페트,170
1525,멋,166
1526,트릿,162
1527,꿀잠,167
1528,더니,175
1529,마도,161
1530,수치,175
1531,장시간,167
1532,찾기,165
1533,자동차,163
1534,편지지,161
1535,생,167
1536,첫날,174
1537,굽이,181
1538,환기,174
1539,메,165
1540,총,173
1541,럼,161
1542,삼,169
1543,효,167
1544,청축,164
1545,젛아,165
1546,얘,167
1547,두부,178
1548,친절,169
1549,로스,161
1550,사드,165
1551,이예,168
1552,혹,166
1553,밀대,160
1554,혈당,169
1555,아마,170
1556,펜,165
1557,밀림,162
1558,영상,167
1559,녀석,160
1560,마지막,170
1561,악,165
1562,실내,161
1563,답,174
1564,펫,158
1565,만년필,160
1566,건가,186
1567,식판,163
1568,대체로,181
1569,의심,178
1570,토,164
1571,망원경,157
1572,요긴,160
1573,법도,158
1574,힘드네,179
1575,공복,164
1576,금,187
1577,워터,162
1578,햇습니,162
1579,작살,156
1580,도안,178
1581,도하,164
1582,샤워,161
1583,슬림,164
1584,염려,159
1585,행거,161
1586,전용,163
1587,일부러,162
1588,캐,164
1589,열탕,157
1590,거나,161
1591,조명,172
1592,패키지,159
1593,스노,160
1594,통풍,173
1595,욯,158
1596,국내,160
1597,용품,157
1598,천이,176
1599,당장,163
1600,분리수거,154
1601,골프,157
1602,사시,158
1603,한결,156
1604,듬뿍,156
1605,잇몸,153
1606,오른쪽,197
1607,패턴,166
1608,날씬,163
1609,자외선,161
1610,와우,159
1611,실수,174
1612,그릇,155
1613,생수,155
1614,대부분,161
1615,과자,169
1616,턱,168
1617,툼,157
1618,충격,163
1619,내년,161
1620,비치,156
1621,귀리,150
1622,쥬,153
1623,갤럭시,162
1624,셨,168
1625,한철,192
1626,조음,150
1627,대쉬보드,173
1628,한잔,150
1629,쫄깃,151
1630,덧신,155
1631,폭신폭신,149
1632,감촉,159
1633,넣기,153
1634,자켓,158
1635,지난,155
1636,컷팅,149
1637,체지방,153
1638,남성,160
1639,카페,153
1640,변화,157
1641,걸레질,148
1642,여분,151
1643,엔진오일,150
1644,묵직,151
1645,프레임,176
1646,레몬,154
1647,논,158
1648,음료,149
1649,수가,156
1650,추석,153
1651,다다,146
1652,킥,155
1653,선반,158
1654,숨쉬기,154
1655,허벅지,158
1656,어린이집,148
1657,창,169
1658,보더,151
1659,듀,147
1660,적당,160
1661,보충,146
1662,양면,162
1663,조화,152
1664,교정,153
1665,매쉬,150
1666,나노,151
1667,라지,173
1668,주일,172
1669,잡,154
1670,우려,153
1671,주행,164
1672,오랜만,146
1673,만두,152
1674,할머니,153
1675,새콤,151
1676,시기,151
1677,량,152
1678,수술,151
1679,위로,156
1680,닷,149
1681,우체국,148
1682,오지,159
1683,퓨저,143
1684,틀,161
1685,활,144
1686,안내,164
1687,거만,147
1688,제닉스,156
1689,핮니,144
1690,차안,143
1691,중국산,160
1692,신뢰,151
