만족도,단어,빈도수
460,만족,디,86
461,만족,미리,86
462,만족,저희,86
463,만족,쏙,85
464,만족,방식,85
465,만족,받침,85
466,만족,어플,85
467,만족,이만,84
468,만족,주,84
469,만족,글,83
470,만족,오전,83
471,만족,가끔,82
472,만족,편,82
473,만족,패널,82
474,만족,문의,81
475,만족,우체국,81
476,만족,엘지,81
477,만족,색감,80
478,만족,노래,80
479,만족,신세계,80
480,만족,전화,80
481,만족,차,80
482,만족,경우,80
483,만족,원,79
484,만족,일이,79
485,만족,단계,79
486,만족,안방,79
487,만족,동시,79
488,만족,결과,79
489,만족,포트,78
490,만족,거기,78
491,만족,움,78
492,만족,장만,78
493,만족,처리,78
494,만족,중간,78
495,만족,맘에듭니,78
496,만족,실제,77
497,만족,키감,77
498,만족,품절,77
499,만족,무지,77
500,만족,지원,77
501,만족,밑,77
502,만족,높이,77
503,만족,은,77
504,만족,재,77
505,만족,영,76
506,만족,개인,76
507,만족,무리,76
508,만족,찍,76
509,만족,외,76
510,만족,값,76
511,만족,당일,76
512,만족,좀더,76
513,만족,아래,76
514,만족,얼마나,76
515,만족,가위,75
516,만족,유선,75
517,만족,메모리,75
518,만족,노트,75
519,만족,그것,75
520,만족,해도,74
521,만족,마이크,74
522,만족,대가,74
523,만족,싸구려,74
524,만족,발열,74
525,만족,펜,74
526,만족,무척,73
527,만족,금액,73
528,만족,에스,73
529,만족,집안,73
530,만족,무거워,73
531,만족,빅쏘,72
532,만족,재질,72
533,만족,더욱,72
534,만족,질,72
535,만족,삿는데,72
536,만족,호환,71
537,만족,아아,71
538,만족,해주시,71
539,만족,덜,71
540,만족,엄마,71
541,만족,법,70
542,만족,아이패드,70
543,만족,하드,70
544,만족,새,70
545,만족,차지,70
546,만족,샤오미,70
547,만족,타자,70
548,만족,세,69
549,만족,데이터,69
550,만족,결점,69
551,만족,남자친구,69
552,만족,결제,69
553,만족,비도,69
554,만족,효과,69
555,만족,담,68
556,만족,와이드,68
557,만족,주시,67
558,만족,코,67
559,만족,파손,67
560,만족,감동,67
561,만족,노란색,66
562,만족,플라스틱,66
563,만족,네이버,66
564,만족,불,66
565,만족,확,66
566,만족,매장,66
567,만족,삿,66
568,만족,베리,65
569,만족,금요일,65
570,만족,물,65
571,만족,굳이,65
572,만족,봉,64
573,만족,맥,64
574,만족,만하,64
575,만족,앱코,64
576,만족,게이,64
577,만족,현재,64
578,만족,귀,64
579,만족,위해,64
580,만족,볼때,64
581,만족,만해,63
582,만족,흠,63
