만족도,단어,빈도수
511,만족,은,52
512,만족,염,52
513,만족,이벤트,52
514,만족,업도,52
515,만족,삿,52
516,만족,라인,52
517,만족,사실,51
518,만족,생기,51
519,만족,솜,51
520,만족,주시,51
521,만족,스타일,51
522,만족,추,51
523,만족,가을,50
524,만족,남아,50
525,만족,볼,50
526,만족,날씨,50
527,만족,관리,49
528,만족,신분,49
529,만족,매,49
530,만족,총알,49
531,만족,필수,49
532,만족,그거,49
533,만족,얼마,49
534,만족,보기,49
535,만족,최근,49
536,만족,그것,49
537,만족,쪽,48
538,만족,에서,48
539,만족,물론,48
540,만족,마침,47
541,만족,악,47
542,만족,품절,47
543,만족,트,47
544,만족,여러가지,47
545,만족,처,47
546,만족,난,46
547,만족,피치,46
548,만족,떡,46
549,만족,싹,46
550,만족,올리브영,46
551,만족,무조건,46
552,만족,작년,45
553,만족,고해,45
554,만족,남자친구,45
555,만족,정돈,44
556,만족,정품,44
557,만족,질,44
558,만족,더욱,44
559,만족,주위,44
560,만족,이전,44
561,만족,구성,44
562,만족,결과,44
563,만족,오히려,44
564,만족,브러쉬,44
565,만족,바론,44
566,만족,언니,44
567,만족,오후,44
568,만족,착,44
569,만족,성하,44
570,만족,공병,44
571,만족,썬,44
572,만족,살랑,44
573,만족,레몬,44
574,만족,겸용,43
575,만족,가요,43
576,만족,단독,43
577,만족,스타,43
578,만족,고정,43
579,만족,양배추,43
580,만족,최저,43
581,만족,대용,43
582,만족,색력,43
583,만족,쓱쓱,43
584,만족,첨,42
585,만족,면도기,42
586,만족,웜톤,42
587,만족,진심,42
588,만족,히알루론산,42
589,만족,볼륨,42
590,만족,카,42
591,만족,립스틱,42
592,만족,발랐을때,42
593,만족,플러스,42
594,만족,개봉,41
595,만족,등,41
596,만족,과,41
597,만족,런가,41
598,만족,모노,41
599,만족,자꾸,41
600,만족,번지,41
601,만족,시중,41
602,만족,표현,41
603,만족,발랐는데,41
604,만족,아이라이너,41
605,만족,피지,41
606,만족,여기저기,40
607,만족,아이즈,40
608,만족,일링,40
609,만족,케어,40
610,만족,거만,40
611,만족,무슨,40
612,만족,덕,40
613,만족,우리,40
614,만족,의향,40
615,만족,직접,40
616,만족,다슈,40
617,만족,맨,40
618,만족,겔,40
619,만족,무척,39
620,만족,쨍,39
621,만족,장점,39
622,만족,데오드란트,39
623,만족,슥슥,39
624,만족,오오,39
625,만족,펄,39
626,만족,요거,39
627,만족,이후,39
628,만족,그닥,39
629,만족,밀리,39
630,만족,장난,39
631,만족,문,39
632,만족,무칸,39
633,만족,펌프,39
634,만족,로레알,39
635,만족,옹,39
636,만족,제대로,39
637,만족,만원,38
638,만족,제발,38
639,만족,뽁뽁이,38
640,만족,두운,38
641,만족,깜짝,38
642,만족,데카,38
643,만족,디자인,38
644,만족,탓,38
645,만족,돈,38
646,만족,레이어,38
647,만족,확,38
648,만족,일자,38
649,만족,해지,37
650,만족,유용,37
651,만족,얼른,37
652,만족,고정력,37
653,만족,월,37
654,만족,덕분,37
655,만족,석류,37
656,만족,그럭저럭,37
657,만족,적,37
658,만족,혹시,37
659,만족,머,37
660,만족,요요,37
661,만족,뻣뻣,37
662,만족,요새,37
663,만족,묽,37
664,만족,아예,37
665,만족,사이트,37
666,만족,까지,36
667,만족,반응,36
668,만족,양은,36
669,만족,가끔,36
670,만족,탈모,36
671,만족,아기,36
672,만족,지루,36
673,만족,거기,36
674,만족,용이,36
675,만족,세일,36
676,만족,파우더,36
677,만족,미백,36
678,만족,섀도우,36
679,만족,아직까지,36
680,만족,잔,36
681,만족,리필,36
682,만족,쇼핑,36
683,만족,위해,36
684,만족,포인트,35
685,만족,어어,35
686,만족,슬림,35
687,만족,가렵,35
688,만족,디오,35
689,만족,쟁,35
690,만족,득,35
691,만족,온라인,35
692,만족,소량,35
693,만족,메르,35
694,만족,사려,35
695,만족,실망,35
696,만족,임산부,35
697,만족,파,35
698,만족,주,35
699,만족,만큼,35
700,만족,잔향,35
701,만족,빗,34
702,만족,기회,34
703,만족,하나로,34
704,만족,남성,34
705,만족,톡톡,34
706,만족,하진,34
707,만족,세트,34
708,만족,저희,34
709,만족,발랐,34
710,만족,보송보송,34
711,만족,이만,34
712,만족,하,34
713,만족,내용물,34
714,만족,지지,34
715,만족,사면,34
716,만족,규,33
717,만족,신상,33
718,만족,자몽,33
719,만족,후회,33
720,만족,인기,33
721,만족,그게,33
722,만족,개선,33
723,만족,너무나,33
724,만족,기미,33
725,만족,존예,33
726,만족,겨울철,33
727,만족,매장,33
728,만족,블로그,33
729,만족,기간,33
730,만족,리뷰,33
731,만족,홍시,33
732,만족,손등,33
733,만족,경우,33
734,만족,단,32
735,만족,병,32
736,만족,보구,32
737,만족,단아,32
738,만족,박스,32
739,만족,거부,32
740,만족,랄,32
741,만족,맛,32
742,만족,도움,32
743,만족,고요,32
744,만족,몇,32
745,만족,매하,32
746,만족,몇개,32
747,만족,삿는데,32
748,만족,또한,32
749,만족,네,32
750,만족,신제품,32
751,만족,성은,31
752,만족,파이,31
753,만족,삼,31
754,만족,중간,31
755,만족,모,31
756,만족,내일,31
757,만족,언제,31
758,만족,대요,31
759,만족,발송,31
760,만족,취향,31
761,만족,괜,31
762,만족,이름,31
763,만족,목,31
764,만족,조절,31
765,만족,회사,31
766,만족,퍼프,31
767,만족,진,31
768,만족,부위,31
769,만족,계절,31
770,만족,성능,31
771,만족,쫌,31
772,만족,화면,31
773,만족,만해,31
774,만족,좁쌀,31
775,만족,쏙,30
776,만족,베리,30
777,만족,가방,30
778,만족,힘,30
779,만족,퍼펙트,30
780,만족,딸아이,30
781,만족,요건,30
782,만족,연한,30
783,만족,일본,30
784,만족,세수,30
785,만족,겉,30
786,만족,이신,30
787,만족,얼마나,30
788,만족,주기,30
789,만족,비교,30
790,만족,절대,30
791,만족,클렌징,30
792,만족,토로,30
793,만족,가루,30
794,만족,그동안,29
795,만족,뉴,29
796,만족,욧,29
797,만족,장미,29
798,만족,내내,29
799,만족,지네,29
800,만족,시향,29
801,만족,아영,29
802,만족,특,29
803,만족,거나,29
804,만족,확정,29
805,만족,라면,29
806,만족,주름,29
807,만족,욥,29
808,만족,가려움증,29
809,만족,이나,29
810,만족,회,29
811,만족,여자,29
812,만족,실제,29
813,만족,배송비,29
814,만족,프로,29
815,만족,키트,28
816,만족,칼,28
817,만족,아이폰,28
818,만족,트린트먼트,28
819,만족,닥터,28
820,만족,뭉치,28
821,만족,홍조,28
822,만족,종류,28
823,만족,썬스틱,28
824,만족,해주시,28
825,만족,영양,28
826,만족,리하,28
827,만족,젠,28
828,만족,정리,28
829,만족,아이라인,28
830,만족,용도,28
831,만족,주신,28
832,만족,카메라,28
833,만족,유해,28
834,만족,고급,28
835,만족,옷,28
836,만족,얘,28
837,만족,작,28
838,만족,왓,28
839,만족,수도,27
840,만족,써봣는데,27
841,만족,계열,27
842,만족,호가,27
843,만족,세팅,27
844,만족,폼,27
845,만족,사장,27
846,만족,강력,27
847,만족,물광,27
848,만족,정,27
849,만족,드라이,27
850,만족,셋팅력,27
851,만족,매력,27
852,만족,파운데이션,27
853,만족,바람,27
854,만족,코팅,27
855,만족,모든,27
856,만족,가로,27
857,만족,이면,27
858,만족,뜸,26
859,만족,현재,26
860,만족,면도,26
861,만족,소리,26
862,만족,컬,26
863,만족,겨,26
864,만족,화학,26
865,만족,환절기,26
866,만족,담날,26
867,만족,믿음,26
868,만족,출산,26
869,만족,숱,26
870,만족,페어,26
871,만족,아빠,26
872,만족,어디,26
873,만족,서비스,26
874,만족,바이,26
875,만족,저분자,26
876,만족,처럼,26
877,만족,감동,26
878,만족,일이,26
879,만족,부모님,26
880,만족,마트,26
881,만족,은근,26
882,만족,트먼트,26
883,만족,짐,26
884,만족,썸,26
885,만족,오오오,26
886,만족,이나고,26
887,만족,인,26
888,만족,튜브,26
889,만족,리프,25
890,만족,피,25
891,만족,화,25
892,만족,새,25
893,만족,길,25
894,만족,그라데이션,25
895,만족,토,25
896,만족,강,25
897,만족,폼클렌징,25
898,만족,흠,25
899,만족,만능,25
900,만족,홍진영,25
901,만족,다행,25
902,만족,샴프,25
903,만족,역,25
904,만족,르,25
905,만족,체리,25
906,만족,견미리,25
907,만족,일정,25
908,만족,외출,25
909,만족,광도,25
910,만족,인지,24
911,만족,쿨,24
912,만족,파시,24
913,만족,잘못,24
914,만족,징,24
915,만족,오전,24
916,만족,미세먼지,24
917,만족,부드러움,24
918,만족,거려,24
919,만족,디렉터,24
920,만족,쓱,24
921,만족,난리,24
922,만족,쇼,24
923,만족,편입,24
924,만족,쓰시,24
925,만족,양으로,24
926,만족,하얘,24
927,만족,전부,24
928,만족,밀림,24
929,만족,마자,24
930,만족,새치,24
931,만족,곧,24
932,만족,뾰루지,24
933,만족,느,23
934,만족,금액,23
935,만족,도착,23
936,만족,나니,23
937,만족,단백질,23
938,만족,안심,23
939,만족,휩,23
940,만족,나이,23
941,만족,지성인,23
942,만족,아이템,23
943,만족,마유,23
944,만족,면,23
945,만족,한참,23
946,만족,부지,23
947,만족,임신,23
948,만족,얼,23
949,만족,탈색,23
950,만족,특가,23
951,만족,다가,23
952,만족,패키지,23
953,만족,여자친구,23
954,만족,남,23
955,만족,참고,23
956,만족,순간,23
957,만족,막상,23
958,만족,갑지,23
959,만족,굿굿굿,23
960,만족,발랄,22
961,만족,보시,22
962,만족,러,22
963,만족,라이트,22
964,만족,방울,22
965,만족,캐릭터,22
966,만족,핑크색,22
967,만족,비도,22
968,만족,홀딩력,22
969,만족,찰떡,22
970,만족,갓,22
971,만족,전입,22
972,만족,한텐,22
973,만족,처리,22
974,만족,딥,22
975,만족,텍스쳐,22
976,만족,채,22
977,만족,신세계,22
978,만족,개사,22
979,만족,루,22
980,만족,프루프,22
981,만족,발색샷,22
982,만족,재생,21
983,만족,맑은,21
984,만족,울,21
985,만족,초,21
986,만족,홀딩,21
987,만족,하하,21
988,만족,질도,21
989,만족,방금,21
990,만족,댜,21
991,만족,류,21
992,만족,상한,21
993,만족,만족도,21
994,만족,은색,21
995,만족,일만,21
996,만족,기준,21
997,만족,직,21
998,만족,부터,21
999,만족,주근깨,21
1000,만족,바이오,21
1001,만족,여성,21
1002,만족,혹,21
1003,만족,말리,21
1004,만족,왁싱,21
1005,만족,뿐,21
1006,만족,뿌,21
1007,만족,평생,21
1008,만족,흉터,21
1009,만족,스트레스,21
1010,만족,키,21
1011,만족,더니,21
1012,만족,파마,21
1013,만족,작고,21
1014,만족,무거,21
1015,만족,듀,21
1016,만족,특유,21
1017,만족,적응,20
1018,만족,쫀쫀하,20
1019,만족,리트,20
1020,만족,버전,20
1021,만족,젛아,20
1022,만족,열,20
1023,만족,덤,20
1024,만족,두통,20
1025,만족,요것,20
1026,만족,여태,20
1027,만족,피부색,20
1028,만족,펌핑,20
1029,만족,무료,20
1030,만족,로만,20
1031,만족,억제,20
1032,만족,컨실러,20
1033,만족,그윽,20
1034,만족,꼬리,20
1035,만족,호불호,20
1036,만족,찰랑,20
1037,만족,꽃산,20
1038,만족,샴퓨,20
1039,만족,결제,20
1040,만족,유래,20
1041,만족,이예,20
1042,만족,남친,20
1043,만족,컨디셔너,20
1044,만족,누,20
1045,만족,노,20
1046,만족,살때,20
1047,만족,진작,20
1048,만족,놀랬어,20
1049,만족,호랑,20
1050,만족,부족,20
1051,만족,성비,20
1052,만족,선택,19
1053,만족,전용,19
1054,만족,송,19
1055,만족,탄력,19
1056,만족,영상,19
1057,만족,뽀,19
1058,만족,예,19
1059,만족,김,19
1060,만족,점점,19
1061,만족,우체국,19
1062,만족,기전,19
1063,만족,거림,19
1064,만족,뽀송,19
1065,만족,손가락,19
1066,만족,쿨톤,19
1067,만족,오리,19
1068,만족,레쉬,19
1069,만족,를,19
1070,만족,블라썸,19
1071,만족,대한,19
1072,만족,드디어,19
1073,만족,한결,19
1074,만족,삿어,19
1075,만족,다운,19
1076,만족,나나,19
1077,만족,오랫동안,19
1078,만족,뾰루,19
1079,만족,생일,19
1080,만족,에코,19
1081,만족,주말,19
1082,만족,분홍,19
1083,만족,소개,19
1084,만족,호로,18
1085,만족,대량,18
1086,만족,업,18
1087,만족,어스,18
1088,만족,상자,18
1089,만족,아보,18
1090,만족,봄봄,18
1091,만족,당황,18
1092,만족,쌩얼,18
1093,만족,건가,18
1094,만족,부,18
1095,만족,완벽,18
1096,만족,얘기,18
1097,만족,즈,18
1098,만족,갠,18
1099,만족,라스트,18
1100,만족,면서,18
1101,만족,펌,18
1102,만족,문의,18
1103,만족,뭘,18
1104,만족,헤드,18
1105,만족,최소,18
1106,만족,자고,18
1107,만족,대로,18
1108,만족,냥,18
1109,만족,지난번,18
1110,만족,연휴,18
1111,만족,지지도,18
1112,만족,종,18
1113,만족,성해,18
1114,만족,덩,18
1115,만족,브,18
1116,만족,이용,18
1117,만족,클레,18
1118,만족,성인,17
1119,만족,살수,17
1120,만족,아가,17
1121,만족,렵,17
1122,만족,최,17
1123,만족,당일,17
1124,만족,도전,17
1125,만족,팔이,17
1126,만족,핫,17
1127,만족,일도,17
1128,만족,마지막,17
1129,만족,단종,17
1130,만족,햇습니,17
1131,만족,상처,17
1132,만족,썻는데,17
1133,만족,풀,17
1134,만족,개털,17
1135,만족,호기심,17
1136,만족,투,17
1137,만족,닥,17
1138,만족,젛,17
1139,만족,완화,17
1140,만족,별루,17
1141,만족,여행가,17
1142,만족,아유,17
1143,만족,갑자기,17
1144,만족,글램,17
1145,만족,연고,17
1146,만족,호호,17
1147,만족,크리,17
1148,만족,요번,17
1149,만족,효,17
1150,만족,투명,17
1151,만족,닷,17
1152,만족,아리따움,17
1153,만족,당분간,17
1154,만족,이제야,17
1155,만족,마스크,17
1156,만족,딛,17
1157,만족,준,17
1158,만족,다소,17
1159,만족,게다가,17
1160,만족,한가지,17
1161,만족,만하,17
1162,만족,지난,16
1163,만족,틀,16
1164,만족,흰색,16
1165,만족,형태,16
1166,만족,실크,16
1167,만족,신기,16
1168,만족,뇨,16
1169,만족,욬,16
1170,만족,프리미엄,16
1171,만족,물기,16
1172,만족,네오,16
1173,만족,페리페라,16
1174,만족,상담,16
1175,만족,식구,16
1176,만족,휴가,16
1177,만족,된거,16
1178,만족,도안,16
1179,만족,달리,16
1180,만족,건강,16
1181,만족,이마,16
1182,만족,라이너,16
1183,만족,여름철,16
1184,만족,존,16
1185,만족,쿨링,16
1186,만족,심,16
1187,만족,빠,16
1188,만족,셈,16
1189,만족,모라,16
1190,만족,션,16
1191,만족,치,16
1192,만족,닉,16
1193,만족,화이팅,16
1194,만족,사이,16
1195,만족,모로,16
1196,만족,스킨로션,16
1197,만족,형광,16
1198,만족,꿀,16
1199,만족,깜놀,16
1200,만족,각,16
1201,만족,주황,16
1202,만족,와이프,16
1203,만족,음영,16
1204,만족,인위,16
1205,만족,새콤달콤,16
1206,만족,온몸,16
1207,만족,장갑,16
1208,만족,오랜만,16
1209,만족,나머지,16
1210,만족,남녀,16
1211,만족,조음,16
1212,만족,확인,16
1213,만족,안쪽,16
1214,만족,결정,16
1215,만족,뽁뽁,16
1216,만족,댓글,16
1217,만족,갈색,16
1218,만족,당장,15
1219,만족,야수,15
1220,만족,촉감,15
1221,만족,츄,15
1222,만족,가면,15
1223,만족,및,15
1224,만족,널,15
1225,만족,요다음,15
1226,만족,의심,15
1227,만족,삼일,15
1228,만족,미사,15
1229,만족,펜슬,15
1230,만족,보라,15
1231,만족,하자,15
1232,만족,핫핑크,15
1233,만족,값,15
1234,만족,리뉴얼,15
1235,만족,야외,15
1236,만족,여러분,15
1237,만족,대서,15
1238,만족,소,15
1239,만족,쪼아,15
1240,만족,애기,15
1241,만족,긴머리,15
1242,만족,용용,15
1243,만족,주로,15
1244,만족,정수리,15
1245,만족,상세,15
1246,만족,하라,15
1247,만족,화해,15
1248,만족,헹굴때,15
1249,만족,근,15
1250,만족,변화,15
1251,만족,필수품,15
1252,만족,올해,15
1253,만족,올여름,15
1254,만족,타임,15
1255,만족,세상,15
1256,만족,빨강,15
1257,만족,방법,15
1258,만족,메베,15
1259,만족,욯,15
1260,만족,합,15
1261,만족,백화점,15
1262,만족,급,15
1263,만족,딘,15
1264,만족,가득,15
1265,만족,유목민,15
1266,만족,종종,15
1267,만족,지나,15
1268,만족,닝,15
1269,만족,사업,15
1270,만족,고향,15
1271,만족,윽,15
1272,만족,밑,14
1273,만족,깨,14
1274,만족,잠깐,14
1275,만족,부들,14
1276,만족,아토,14
1277,만족,인공,14
1278,만족,짜증,14
1279,만족,보스,14
1280,만족,우르,14
1281,만족,고생,14
1282,만족,법,14
1283,만족,메,14
1284,만족,는걸,14
1285,만족,유투브,14
1286,만족,완료,14
1287,만족,름,14
1288,만족,운동,14
1289,만족,오래오래,14
1290,만족,누구,14
1291,만족,팔다리,14
1292,만족,생얼,14
1293,만족,조항,14
1294,만족,알러지,14
1295,만족,히알루론,14
1296,만족,외,14
1297,만족,반품,14
1298,만족,민가,14
1299,만족,훨,14
1300,만족,물티슈,14
1301,만족,연락,14
1302,만족,닥토,14
1303,만족,무리,14
1304,만족,그때,14
1305,만족,립글로즈,14
1306,만족,게리,14
1307,만족,헹구,14
1308,만족,미장센,14
1309,만족,첫향,14
1310,만족,방,14
1311,만족,달달,14
1312,만족,난후,14
1313,만족,서도,14
1314,만족,죠아,14
1315,만족,해결,14
1316,만족,센스,14
1317,만족,캡,14
1318,만족,쿨링감,14
1319,만족,면세점,14
1320,만족,자국,14
